Season Start,Season End,Team,OPP_PTS,Salary,Salary w/ Inflation
2010,2011,Milwaukee Bucks,92.7,100740770.0,107062710.0
2011,2012,Milwaukee Bucks,98.7,133624374.0,139727484.0
2012,2013,Milwaukee Bucks,100.4,71360656.0,83534178.0
2013,2014,Milwaukee Bucks,103.7,66775602.0,79298360.0
2014,2015,Milwaukee Bucks,97.4,69076690.0,81175915.0
2015,2016,Milwaukee Bucks,103.2,60192388.0,68304625.0
2016,2017,Milwaukee Bucks,103.8,62410041.0,69661986.0
2017,2018,Milwaukee Bucks,106.8,54400846.0,59675181.0
2008,2009,Minnesota Timberwolves,102.7,54473275.0,58541453.0
2009,2010,Minnesota Timberwolves,107.8,73843541.0,79260236.0
2010,2011,Minnesota Timberwolves,107.7,96245877.0,102285744.0
2011,2012,Minnesota Timberwolves,100.1,120521249.0,126025887.0
2012,2013,Minnesota Timberwolves,98.1,66445144.0,77780119.0
2013,2014,Minnesota Timberwolves,104.3,62253360.0,73928037.0
2014,2015,Minnesota Timberwolves,106.5,53461123.0,62825180.0
2015,2016,Minnesota Timberwolves,106.0,56844339.0,64505355.0
2016,2017,Minnesota Timberwolves,106.7,64329748.0,71804760.0
2017,2018,Minnesota Timberwolves,107.3,68564040.0,75211546.0
2008,2009,New Jersey Nets,100.5,69378954.0,74560321.0
2009,2010,New Jersey Nets,101.5,72287243.0,77589778.0
2010,2011,New Jersey Nets,100.4,83527580.0,88769315.0
2011,2012,New Jersey Nets,99.1,116075131.0,121376702.0
2008,2009,New Orleans Hornets,94.3,67530808.0,79050989.0
2009,2010,New Orleans Hornets,102.7,70163827.0,83321997.0
2010,2011,New Orleans Hornets,94.0,68230729.0,80181781.0
2011,2012,New Orleans Hornets,93.4,65441008.0,74260613.0
2012,2013,New Orleans Hornets,97.9,64134537.0,71586865.0
2013,2014,New Orleans Pelicans,102.4,67358651.0,73889290.0
2014,2015,New Orleans Pelicans,98.6,80012866.0,85988398.0
2015,2016,New Orleans Pelicans,106.5,83709371.0,89849758.0
2016,2017,New Orleans Pelicans,106.4,101616451.0,107993343.0
2017,2018,New Orleans Pelicans,110.4,120814452.0,126332484.0
2008,2009,New York Knicks,107.8,96643646.0,113130233.0
2009,2010,New York Knicks,105.9,85710076.0,101783713.0
2010,2011,New York Knicks,105.7,67016562.0,78754945.0
2011,2012,New York Knicks,94.7,77093212.0,87483210.0
2012,2013,New York Knicks,95.7,79977119.0,89270334.0
2013,2014,New York Knicks,99.4,89072787.0,97708684.0
2014,2015,New York Knicks,101.2,81369219.0,87446049.0
2015,2016,New York Knicks,101.1,74237021.0,79682579.0
2016,2017,New York Knicks,108.0,102593418.0,109031624.0
2017,2018,New York Knicks,108.0,105403130.0,110217272.0
2008,2009,Oklahoma City Thunder,103.1,68341605.0,80000097.0
2009,2010,Oklahoma City Thunder,98.0,58578614.0,69564148.0
2010,2011,Oklahoma City Thunder,101.0,55922488.0,65717669.0
2011,2012,Oklahoma City Thunder,96.9,59501709.0,67520863.0
2012,2013,Oklahoma City Thunder,96.5,68924100.0,76932970.0
2013,2014,Oklahoma City Thunder,99.8,71653401.0,78600431.0
2014,2015,Oklahoma City Thunder,101.8,80408520.0,86413604.0
2015,2016,Oklahoma City Thunder,102.9,95708387.0,102728953.0
2016,2017,Oklahoma City Thunder,105.8,91230089.0,96955191.0
2017,2018,Oklahoma City Thunder,104.4,134534640.0,140679326.0
2008,2009,Orlando Magic,94.4,69672979.0,81558597.0
2009,2010,Orlando Magic,95.3,82200916.0,97616464.0
2010,2011,Orlando Magic,93.7,90770804.0,106669901.0
2011,2012,Orlando Magic,93.4,87955505.0,99809433.0
2012,2013,Orlando Magic,101.1,66557496.0,74291370.0
2013,2014,Orlando Magic,102.0,56948031.0,62469324.0
2014,2015,Orlando Magic,101.4,59629210.0,64082446.0
2015,2016,Orlando Magic,103.7,63199651.0,67835576.0
2016,2017,Orlando Magic,107.6,104096951.0,110629512.0
2017,2018,Orlando Magic,108.2,98700258.0,103208254.0
2008,2009,Philadelphia 76ers,97.3,68301007.0,79952578.0
2009,2010,Philadelphia 76ers,101.6,64883448.0,77051362.0
2010,2011,Philadelphia 76ers,97.5,68915246.0,80986195.0
2011,2012,Philadelphia 76ers,89.4,66672368.0,75657929.0
2012,2013,Philadelphia 76ers,96.5,66697839.0,74448020.0
2013,2014,Philadelphia 76ers,109.9,51741312.0,56757794.0
2014,2015,Philadelphia 76ers,101.0,54355571.0,58414953.0
2015,2016,Philadelphia 76ers,107.6,64583220.0,69320632.0
2016,2017,Philadelphia 76ers,108.1,84775343.0,90095374.0
2017,2018,Philadelphia 76ers,105.3,100797386.0,105401164.0
2008,2009,Phoenix Suns,107.5,76130408.0,89117609.0
2009,2010,Phoenix Suns,105.3,65288544.0,77532428.0
2010,2011,Phoenix Suns,105.9,65979054.0,77535711.0
2011,2012,Phoenix Suns,98.6,80640576.0,91508654.0
2012,2013,Phoenix Suns,101.6,54196264.0,60493782.0
2013,2014,Phoenix Suns,102.6,55569468.0,60957107.0
2014,2015,Phoenix Suns,103.3,58018672.0,62351628.0
2015,2016,Phoenix Suns,107.5,68095365.0,73090409.0
2016,2017,Phoenix Suns,113.3,89754590.0,95387098.0
2017,2018,Phoenix Suns,113.3,92684083.0,96917295.0
2008,2009,Portland Trail Blazers,94.1,80260059.0,93951741.0
2009,2010,Portland Trail Blazers,94.8,56946258.0,67625668.0
2010,2011,Portland Trail Blazers,94.8,74584058.0,87647938.0
2011,2012,Portland Trail Blazers,97.8,80920717.0,91826552.0
2012,2013,Portland Trail Blazers,100.7,59442596.0,66349730.0
2013,2014,Portland Trail Blazers,102.8,61260350.0,67199740.0
2014,2015,Portland Trail Blazers,98.6,69936842.0,75159876.0
2015,2016,Portland Trail Blazers,104.3,61685814.0,66210692.0
2016,2017,Portland Trail Blazers,108.5,119732234.0,127245980.0
2017,2018,Portland Trail Blazers,103.0,118708146.0,124129975.0
2008,2009,Sacramento Kings,109.3,69204512.0,81010212.0
2009,2010,Sacramento Kings,104.4,67515718.0,80177273.0
2010,2011,Sacramento Kings,104.7,45268465.0,53197524.0
2011,2012,Sacramento Kings,104.4,48950236.0,55547347.0
2012,2013,Sacramento Kings,105.1,54421935.0,60745677.0
2013,2014,Sacramento Kings,103.4,59174155.0,64911282.0
2014,2015,Sacramento Kings,105.0,73379071.0,78859179.0
2015,2016,Sacramento Kings,109.1,70610560.0,75790104.0
2016,2017,Sacramento Kings,106.7,95596327.0,101595433.0
2017,2018,Sacramento Kings,105.8,99587185.0,104135688.0
2008,2009,San Antonio Spurs,93.3,68020487.0,79624200.0
2009,2010,San Antonio Spurs,96.3,79338309.0,94217014.0
2010,2011,San Antonio Spurs,98.0,69522311.0,81699592.0
2011,2012,San Antonio Spurs,96.5,73732762.0,83669865.0
2012,2013,San Antonio Spurs,96.6,69838600.0,77953731.0
2013,2014,San Antonio Spurs,97.6,63115911.0,69235205.0
2014,2015,San Antonio Spurs,97.0,70770209.0,76055480.0
2015,2016,San Antonio Spurs,92.9,87832839.0,94275703.0
2016,2017,San Antonio Spurs,98.1,112017779.0,119047406.0
2017,2018,San Antonio Spurs,99.8,114633844.0,119869587.0
2008,2009,Toronto Raptors,101.9,73446970.0,85976400.0
2009,2010,Toronto Raptors,105.9,67822433.0,80541508.0
2010,2011,Toronto Raptors,105.4,69992648.0,82252310.0
2011,2012,Toronto Raptors,94.0,55063049.0,62483997.0
2012,2013,Toronto Raptors,98.7,63708138.0,71110922.0
2013,2014,Toronto Raptors,98.0,71561643.0,78499777.0
2014,2015,Toronto Raptors,100.9,81317963.0,87390965.0
2015,2016,Toronto Raptors,98.2,71591189.0,76842665.0
2016,2017,Toronto Raptors,102.6,108599970.0,115415114.0
2017,2018,Toronto Raptors,103.9,116929373.0,122269961.0
2008,2009,Utah Jazz,100.9,65841407.0,77073389.0
2009,2010,Utah Jazz,98.9,71905244.0,85389991.0
2010,2011,Utah Jazz,101.3,75855296.0,89141843.0
2011,2012,Utah Jazz,99.0,58178016.0,66018776.0
2012,2013,Utah Jazz,98.1,65657569.0,73286873.0
2013,2014,Utah Jazz,102.2,56911999.0,62429802.0
2014,2015,Utah Jazz,94.9,60847538.0,65391761.0
2015,2016,Utah Jazz,95.9,63608425.0,68274335.0
2016,2017,Utah Jazz,96.8,80138192.0,85167228.0
2017,2018,Utah Jazz,99.8,105606838.0,110430283.0
