Season_Start,Season End,Team,Team_ID,TEAM_PTS,OPP_PTS,Salary,Salary w/ Inflation
2016,2017,Minnesota Timberwolves,MIN,105.6,106.7,64329748,71804760
2017,2018,Minnesota Timberwolves,MIN,109.5,107.3,68564040,75211546
2008,2009,Brooklyn Nets,BKN,98.1,100.5,69378954,74560321
2009,2010,Brooklyn Nets,BKN,92.4,101.5,72287243,77589778
2010,2011,Brooklyn Nets,BKN,94.2,100.4,83527580,88769315
2011,2012,Brooklyn Nets,BKN,93.1,99.1,116075131,121376702
2008,2009,New Orleans Hornets,NOP,95.8,94.3,67530808,79050989
2009,2010,New Orleans Hornets,NOP,100.2,102.7,70163827,83321997
2010,2011,New Orleans Hornets,NOP,94.9,94,68230729,80181781
2011,2012,New Orleans Hornets,NOP,89.6,93.4,65441008,74260613
2012,2013,New Orleans Hornets,NOP,94.1,97.9,64134537,71586865
2013,2014,New Orleans Pelicans,NOP,99.7,102.4,67358651,73889290
2014,2015,New Orleans Pelicans,NOP,99.4,98.6,80012866,85988398
2015,2016,New Orleans Pelicans,NOP,102.7,106.5,83709371,89849758
2016,2017,New Orleans Pelicans,NOP,104.3,106.4,101616451,107993343
2017,2018,New Orleans Pelicans,NOP,111.7,110.4,120814452,126332484
2008,2009,New York Knicks,NYK,105.2,107.8,96643646,113130233
2009,2010,New York Knicks,NYK,102.1,105.9,85710076,101783713
2010,2011,New York Knicks,NYK,106.5,105.7,67016562,78754945
2011,2012,New York Knicks,NYK,97.8,94.7,77093212,87483210
2012,2013,New York Knicks,NYK,100,95.7,79977119,89270334
2013,2014,New York Knicks,NYK,98.6,99.4,89072787,97708684
2014,2015,New York Knicks,NYK,91.9,101.2,81369219,87446049
2015,2016,New York Knicks,NYK,98.4,101.1,74237021,79682579
2016,2017,New York Knicks,NYK,104.3,108,102593418,109031624
2017,2018,New York Knicks,NYK,104.5,108,105403130,110217272
2008,2009,Oklahoma City Thunder,OKC,97,103.1,68341605,80000097
2009,2010,Oklahoma City Thunder,OKC,101.5,98,58578614,69564148
2010,2011,Oklahoma City Thunder,OKC,104.8,101,55922488,65717669
2011,2012,Oklahoma City Thunder,OKC,103.1,96.9,59501709,67520863
2012,2013,Oklahoma City Thunder,OKC,105.7,96.5,68924100,76932970
2013,2014,Oklahoma City Thunder,OKC,106.2,99.8,71653401,78600431
2014,2015,Oklahoma City Thunder,OKC,104,101.8,80408520,86413604
2015,2016,Oklahoma City Thunder,OKC,110.2,102.9,95708387,102728953
2016,2017,Oklahoma City Thunder,OKC,106.6,105.8,91230089,96955191
2017,2018,Oklahoma City Thunder,OKC,107.9,104.4,134534640,140679326
2008,2009,Orlando Magic,ORL,101,94.4,69672979,81558597
2009,2010,Orlando Magic,ORL,102.8,95.3,82200916,97616464
2010,2011,Orlando Magic,ORL,99.2,93.7,90770804,106669901
2011,2012,Orlando Magic,ORL,94.2,93.4,87955505,99809433
2012,2013,Orlando Magic,ORL,94.1,101.1,66557496,74291370
2013,2014,Orlando Magic,ORL,96.5,102,56948031,62469324
2014,2015,Orlando Magic,ORL,95.7,101.4,59629210,64082446
2015,2016,Orlando Magic,ORL,102.1,103.7,63199651,67835576
2016,2017,Orlando Magic,ORL,101.1,107.6,104096951,110629512
2017,2018,Orlando Magic,ORL,103.4,108.2,98700258,103208254
2008,2009,Philadelphia 76ers,PHI,97.4,97.3,68301007,79952578
2009,2010,Philadelphia 76ers,PHI,97.7,101.6,64883448,77051362
2010,2011,Philadelphia 76ers,PHI,99,97.5,68915246,80986195
2011,2012,Philadelphia 76ers,PHI,93.6,89.4,66672368,75657929
2012,2013,Philadelphia 76ers,PHI,93.2,96.5,66697839,74448020
2013,2014,Philadelphia 76ers,PHI,99.5,109.9,51741312,56757794
2014,2015,Philadelphia 76ers,PHI,92,101,54355571,58414953
2015,2016,Philadelphia 76ers,PHI,97.4,107.6,64583220,69320632
2016,2017,Philadelphia 76ers,PHI,102.4,108.1,84775343,90095374
2017,2018,Philadelphia 76ers,PHI,109.8,105.3,100797386,105401164
2008,2009,Phoenix Suns,PHX,109.4,107.5,76130408,89117609
2009,2010,Phoenix Suns,PHX,110.2,105.3,65288544,77532428
2010,2011,Phoenix Suns,PHX,105,105.9,65979054,77535711
2011,2012,Phoenix Suns,PHX,98.4,98.6,80640576,91508654
2012,2013,Phoenix Suns,PHX,95.2,101.6,54196264,60493782
2013,2014,Phoenix Suns,PHX,105.2,102.6,55569468,60957107
2014,2015,Phoenix Suns,PHX,102.4,103.3,58018672,62351628
2015,2016,Phoenix Suns,PHX,100.9,107.5,68095365,73090409
2016,2017,Phoenix Suns,PHX,107.7,113.3,89754590,95387098
2017,2018,Phoenix Suns,PHX,103.9,113.3,92684083,96917295
2008,2009,Portland Trail Blazers,POR,99.4,94.1,80260059,93951741
2009,2010,Portland Trail Blazers,POR,98.1,94.8,56946258,67625668
2010,2011,Portland Trail Blazers,POR,96.3,94.8,74584058,87647938
2011,2012,Portland Trail Blazers,POR,97.2,97.8,80920717,91826552
2012,2013,Portland Trail Blazers,POR,97.5,100.7,59442596,66349730
2013,2014,Portland Trail Blazers,POR,106.7,102.8,61260350,67199740
2014,2015,Portland Trail Blazers,POR,102.8,98.6,69936842,75159876
2015,2016,Portland Trail Blazers,POR,105.1,104.3,61685814,66210692
2016,2017,Portland Trail Blazers,POR,107.9,108.5,119732234,127245980
2017,2018,Portland Trail Blazers,POR,105.6,103,118708146,124129975
2008,2009,Sacramento Kings,SAC,100.6,109.3,69204512,81010212
2009,2010,Sacramento Kings,SAC,100,104.4,67515718,80177273
2010,2011,Sacramento Kings,SAC,99.4,104.7,45268465,53197524
2011,2012,Sacramento Kings,SAC,98.8,104.4,48950236,55547347
2012,2013,Sacramento Kings,SAC,100.2,105.1,54421935,60745677
2013,2014,Sacramento Kings,SAC,100.5,103.4,59174155,64911282
2014,2015,Sacramento Kings,SAC,101.3,105,73379071,78859179
2015,2016,Sacramento Kings,SAC,106.6,109.1,70610560,75790104
2016,2017,Sacramento Kings,SAC,102.8,106.7,95596327,101595433
2017,2018,Sacramento Kings,SAC,98.8,105.8,99587185,104135688
2008,2009,San Antonio Spurs,SAN,97,93.3,68020487,79624200
2009,2010,San Antonio Spurs,SAN,101.4,96.3,79338309,94217014
2010,2011,San Antonio Spurs,SAN,103.7,98,69522311,81699592
2011,2012,San Antonio Spurs,SAN,103.7,96.5,73732762,83669865
2012,2013,San Antonio Spurs,SAN,103,96.6,69838600,77953731
2013,2014,San Antonio Spurs,SAN,105.4,97.6,63115911,69235205
2014,2015,San Antonio Spurs,SAN,103.2,97,70770209,76055480
2015,2016,San Antonio Spurs,SAN,103.5,92.9,87832839,94275703
2016,2017,San Antonio Spurs,SAN,105.3,98.1,112017779,119047406
2017,2018,San Antonio Spurs,SAN,102.7,99.8,114633844,119869587
2008,2009,Toronto Raptors,TOR,99,101.9,73446970,85976400
2009,2010,Toronto Raptors,TOR,104.1,105.9,67822433,80541508
2010,2011,Toronto Raptors,TOR,99.1,105.4,69992648,82252310
2011,2012,Toronto Raptors,TOR,90.7,94,55063049,62483997
2012,2013,Toronto Raptors,TOR,97.2,98.7,63708138,71110922
2013,2014,Toronto Raptors,TOR,101.3,98,71561643,78499777
2014,2015,Toronto Raptors,TOR,104,100.9,81317963,87390965
2015,2016,Toronto Raptors,TOR,102.7,98.2,71591189,76842665
2016,2017,Toronto Raptors,TOR,106.9,102.6,108599970,115415114
2017,2018,Toronto Raptors,TOR,111.7,103.9,116929373,122269961
2008,2009,Utah Jazz,UTA,103.6,100.9,65841407,77073389
2009,2010,Utah Jazz,UTA,104.2,98.9,71905244,85389991
2010,2011,Utah Jazz,UTA,99.4,101.3,75855296,89141843
2011,2012,Utah Jazz,UTA,99.7,99,58178016,66018776
2012,2013,Utah Jazz,UTA,98,98.1,65657569,73286873
2013,2014,Utah Jazz,UTA,95,102.2,56911999,62429802
2014,2015,Utah Jazz,UTA,95.1,94.9,60847538,65391761
2015,2016,Utah Jazz,UTA,97.7,95.9,63608425,68274335
2016,2017,Utah Jazz,UTA,100.7,96.8,80138192,85167228
2017,2018,Utah Jazz,UTA,104.1,99.8,105606838,110430283
2008,2009,Washington Wizards,WAS,96.1,103.5,70743317,82811524
2009,2010,Washington Wizards,WAS,96.2,101,73440274,87212893
2010,2011,Washington Wizards,WAS,97.3,104.7,58324988,68540981
2011,2012,Washington Wizards,WAS,93.6,98.4,55386345,62850863
2012,2013,Washington Wizards,WAS,93.2,95.8,59715539,66654386
2013,2014,Washington Wizards,WAS,100.7,99.4,64698822,70971580
2014,2015,Washington Wizards,WAS,98.5,97.8,73372974,78852628
2015,2016,Washington Wizards,WAS,104.1,104.6,85055155,91294262
2016,2017,Washington Wizards,WAS,109.2,107.4,104016580,110544093
2017,2018,Washington Wizards,WAS,106.6,106,123306396,128938245
