Season Start,Season End,Team,player_height,Salary,Salary w/ Inflation
2012,2013,Orlando Magic,2811.7799999999997,66557496.0,74291370.0
2013,2014,Orlando Magic,2806.7,56948031.0,62469324.0
2014,2015,Orlando Magic,3022.6,59629210.0,64082446.0
2015,2016,Orlando Magic,2992.12,63199651.0,67835576.0
2016,2017,Orlando Magic,3611.8799999999997,104096951.0,110629512.0
2017,2018,Orlando Magic,3421.38,98700258.0,103208254.0
2008,2009,Philadelphia 76ers,2600.9600000000005,68301007.0,79952578.0
2009,2010,Philadelphia 76ers,2801.6200000000003,64883448.0,77051362.0
2010,2011,Philadelphia 76ers,3025.1400000000003,68915246.0,80986195.0
2011,2012,Philadelphia 76ers,3241.04,66672368.0,75657929.0
2012,2013,Philadelphia 76ers,3009.9,66697839.0,74448020.0
2013,2014,Philadelphia 76ers,3602.14,51741312.0,56757794.0
2014,2015,Philadelphia 76ers,4018.7000000000003,54355571.0,58414953.0
2015,2016,Philadelphia 76ers,2809.24,64583220.0,69320632.0
2016,2017,Philadelphia 76ers,3230.8799999999997,84775343.0,90095374.0
2017,2018,Philadelphia 76ers,3789.6800000000003,100797386.0,105401164.0
2008,2009,Phoenix Suns,2809.2400000000002,76130408.0,89117609.0
2009,2010,Phoenix Suns,2839.7199999999993,65288544.0,77532428.0
2010,2011,Phoenix Suns,2824.48,65979054.0,77535711.0
2011,2012,Phoenix Suns,2608.5800000000004,80640576.0,91508654.0
2012,2013,Phoenix Suns,3048.0,54196264.0,60493782.0
2013,2014,Phoenix Suns,3012.44,55569468.0,60957107.0
2014,2015,Phoenix Suns,3413.7599999999998,58018672.0,62351628.0
2015,2016,Phoenix Suns,3205.48,68095365.0,73090409.0
2016,2017,Phoenix Suns,3388.3599999999997,89754590.0,95387098.0
2017,2018,Phoenix Suns,3596.64,92684083.0,96917295.0
2008,2009,Portland Trail Blazers,2839.72,80260059.0,93951741.0
2009,2010,Portland Trail Blazers,3012.44,56946258.0,67625668.0
2010,2011,Portland Trail Blazers,3235.9599999999996,74584058.0,87647938.0
2011,2012,Portland Trail Blazers,2812.2000000000007,80920717.0,91826552.0
2012,2013,Portland Trail Blazers,3014.9800000000005,59442596.0,66349730.0
2013,2014,Portland Trail Blazers,3017.520000000001,61260350.0,67199740.0
2014,2015,Portland Trail Blazers,3223.26,69936842.0,75159876.0
2015,2016,Portland Trail Blazers,3208.02,61685814.0,66210692.0
2016,2017,Portland Trail Blazers,2819.4,119732234.0,127245980.0
2017,2018,Portland Trail Blazers,3042.9200000000005,118708146.0,124129975.0
2008,2009,Sacramento Kings,2814.32,69204512.0,81010212.0
2009,2010,Sacramento Kings,3246.12,67515718.0,80177273.0
2010,2011,Sacramento Kings,3014.98,45268465.0,53197524.0
2011,2012,Sacramento Kings,2804.16,48950236.0,55547347.0
2012,2013,Sacramento Kings,2791.46,54421935.0,60745677.0
2013,2014,Sacramento Kings,3223.2600000000007,59174155.0,64911282.0
2014,2015,Sacramento Kings,3434.079999999999,73379071.0,78859179.0
2015,2016,Sacramento Kings,3007.36,70610560.0,75790104.0
2016,2017,Sacramento Kings,3177.54,95596327.0,101595433.0
2017,2018,Sacramento Kings,3220.7200000000007,99587185.0,104135688.0
2008,2009,San Antonio Spurs,3787.14,68020487.0,79624200.0
2009,2010,San Antonio Spurs,2806.7000000000003,79338309.0,94217014.0
2010,2011,San Antonio Spurs,3190.2400000000002,69522311.0,81699592.0
2011,2012,San Antonio Spurs,3787.1399999999994,73732762.0,83669865.0
2012,2013,San Antonio Spurs,2992.12,69838600.0,77953731.0
2013,2014,San Antonio Spurs,3012.4400000000005,63115911.0,69235205.0
2014,2015,San Antonio Spurs,3007.7000000000003,70770209.0,76055480.0
2015,2016,San Antonio Spurs,3601.7200000000003,87832839.0,94275703.0
2016,2017,San Antonio Spurs,3208.0200000000004,112017779.0,119047406.0
2017,2018,San Antonio Spurs,3586.4800000000005,114633844.0,119869587.0
2008,2009,Toronto Raptors,3228.3400000000006,73446970.0,85976400.0
2009,2010,Toronto Raptors,3035.3,67822433.0,80541508.0
2010,2011,Toronto Raptors,3439.1599999999994,69992648.0,82252310.0
2011,2012,Toronto Raptors,3413.7599999999998,55063049.0,62483997.0
2012,2013,Toronto Raptors,2992.1200000000003,63708138.0,71110922.0
2013,2014,Toronto Raptors,2997.2,71561643.0,78499777.0
2014,2015,Toronto Raptors,3215.76,81317963.0,87390965.0
2015,2016,Toronto Raptors,3235.959999999999,71591189.0,76842665.0
2016,2017,Toronto Raptors,3218.1799999999994,108599970.0,115415114.0
2017,2018,Toronto Raptors,3208.02,116929373.0,122269961.0
2008,2009,Utah Jazz,3020.0599999999995,65841407.0,77073389.0
2009,2010,Utah Jazz,2608.5800000000004,71905244.0,85389991.0
