Season Start,Season End,Team,GP,W,L,WIN%,Salary,Salary w/ Inflation
2011,2012,Houston Rockets,66,34,32,0.515,57021755.0,64706681.0
2012,2013,Houston Rockets,82,45,37,0.5489999999999999,48048265.0,53631389.0
2013,2014,Houston Rockets,82,54,28,0.659,57823063.0,63429195.0
2014,2015,Houston Rockets,82,56,26,0.6829999999999999,76849302.0,82588574.0
2015,2016,Houston Rockets,82,41,41,0.5,87504058.0,93922804.0
2016,2017,Houston Rockets,82,55,27,0.6709999999999999,90956067.0,96663975.0
2017,2018,Houston Rockets,82,65,17,0.7929999999999999,119905532.0,125382049.0
2008,2009,Indiana Pacers,82,36,46,0.439,69668818.0,81553724.0
2009,2010,Indiana Pacers,82,32,50,0.39,66733257.0,79248074.0
2010,2011,Indiana Pacers,82,37,45,0.451,65088630.0,76489322.0
2011,2012,Indiana Pacers,66,42,24,0.636,51554083.0,58502121.0
2012,2013,Indiana Pacers,81,49,32,0.605,66107195.0,73788745.0
2013,2014,Indiana Pacers,82,56,26,0.6829999999999999,67182414.0,73695967.0
2014,2015,Indiana Pacers,82,38,44,0.46299999999999997,74793526.0,80379271.0
2015,2016,Indiana Pacers,82,45,37,0.5489999999999999,71605233.0,76857739.0
2016,2017,Indiana Pacers,82,42,40,0.512,90279072.0,95944493.0
2017,2018,Indiana Pacers,82,48,34,0.585,95271736.0,99623136.0
2015,2016,LA Clippers,82,53,29,0.6459999999999999,62764206.0,73471242.0
2016,2017,LA Clippers,82,51,31,0.622,61616409.0,73171636.0
2017,2018,LA Clippers,82,42,40,0.512,53225329.0,62548088.0
2008,2009,Los Angeles Clippers,82,19,63,0.23199999999999998,67333389.0,76408033.0
2009,2010,Los Angeles Clippers,82,29,53,0.354,69152721.0,77188154.0
2010,2011,Los Angeles Clippers,82,32,50,0.39,73049774.0,80132187.0
2011,2012,Los Angeles Clippers,66,40,26,0.606,85259447.0,91626808.0
2012,2013,Los Angeles Clippers,82,56,26,0.6829999999999999,97019321.0,104136046.0
2013,2014,Los Angeles Clippers,82,57,25,0.695,114756766.0,121958281.0
2014,2015,Los Angeles Clippers,82,56,26,0.6829999999999999,119093010.0,124532419.0
2008,2009,Los Angeles Lakers,82,65,17,0.7929999999999999,78245793.0,91593858.0
2009,2010,Los Angeles Lakers,82,57,25,0.695,91378064.0,108514646.0
2010,2011,Los Angeles Lakers,82,57,25,0.695,91428140.0,107442371.0
2011,2012,Los Angeles Lakers,66,41,25,0.621,88264478.0,100160046.0
2012,2013,Los Angeles Lakers,82,45,37,0.5489999999999999,100131988.0,111767168.0
2013,2014,Los Angeles Lakers,82,27,55,0.32899999999999996,77423614.0,84930083.0
2014,2015,Los Angeles Lakers,82,21,61,0.256,77546500.0,83337839.0
2015,2016,Los Angeles Lakers,82,17,65,0.207,72694352.0,78026750.0
2016,2017,Los Angeles Lakers,82,26,56,0.317,94781848.0,100729840.0
2017,2018,Los Angeles Lakers,82,35,47,0.42700000000000005,103126557.0,107836717.0
2008,2009,Memphis Grizzlies,82,24,58,0.293,55958148.0,65504128.0
2009,2010,Memphis Grizzlies,82,40,42,0.488,57287474.0,68030871.0
